"gameid","team1","team2","team1sets","team2sets","team1win","team2win"
6174290,"California","Fairfield",3,1,1,0
6174291,"Fordham","Presbyterian",3,1,1,0
6174292,"Northern Ariz.","Prairie View",2,3,0,1
6174293,"Liberty","Gardner-Webb",3,0,1,0
6174294,"Montana","Pittsburgh",0,3,0,1
6174295,"Auburn","McNeese",3,0,1,0
6174296,"Kansas City","Holy Cross",3,0,1,0
6174297,"Central Ark.","Illinois St.",3,0,1,0
6174298,"Fresno St.","Kent St.",3,1,1,0
6174299,"Kent St.","UC San Diego",1,3,0,1
6174300,"Alcorn","Samford",0,3,0,1
6174301,"North Dakota St.","Seattle U",3,1,1,0
6174302,"Georgia","Western Caro.",3,0,1,0
6174303,"Dayton","Drake",3,2,1,0
6174304,"Col. of Charleston","Le Moyne",3,0,1,0
6174305,"Sam Houston","Portland",2,3,0,1
6174306,"South Carolina St.","New Orleans",0,3,0,1
6174307,"Providence","Eastern Wash.",1,3,0,1
6174308,"William & Mary","Bellarmine",3,1,1,0
6174309,"ULM","Valparaiso",0,3,0,1
6174310,"Grambling","Washington",0,3,0,1
6174311,"Delaware St.","Siena",3,1,1,0
6174312,"Stonehill","Queens (NC)",1,3,0,1
6174313,"Loyola Maryland","Niagara",3,0,1,0
6174314,"IUPUI","SIUE",3,2,1,0
6174315,"Missouri St.","Texas Southern",3,0,1,0
6174316,"UC Davis","North Carolina",3,1,1,0
6174317,"Rhode Island","UT Arlington",0,3,0,1
6174318,"Belmont","Canisius",0,3,0,1
6174319,"Wichita St.","Houston Christian",3,1,1,0
6174320,"UNCW","Stetson",0,3,0,1
6174321,"Bethune-Cookman","Marshall",0,3,0,1
6174322,"UNC Asheville","N.C. Central",3,2,1,0
6174323,"Fla. Atlantic","FDU",3,1,1,0
6174324,"UCF","Syracuse",3,0,1,0
6174325,"New Hampshire","Radford",3,0,1,0
6174326,"North Dakota","Oregon St.",0,3,0,1
6174327,"St. John's (NY)","Arizona St.",0,3,0,1
6174328,"Louisiana Tech","Little Rock",3,0,1,0
6174329,"Green Bay","Winthrop",3,0,1,0
6174330,"Cleveland St.","Tennessee St.",3,0,1,0
6174331,"BYU","UTRGV",3,1,1,0
6174332,"Norfolk St.","VCU",0,3,0,1
6174333,"Iona","LIU",3,0,1,0
6174334,"UNC Greensboro","East Carolina",0,3,0,1
