"gameid","team1","team2","set","team1pts","team2pts","team1setwon","team2setwon","team1sets","team2sets","team1win","team2win"
6174392,"Troy","Wright St.",2,18,25,0,1,0,3,0,1
6174392,"Troy","Wright St.",1,20,25,0,1,0,3,0,1
6174393,"Loyola Maryland","Robert Morris",3,23,25,0,1,3,1,1,0
6174393,"Loyola Maryland","Robert Morris",1,33,31,1,0,3,1,1,0
6174393,"Loyola Maryland","Robert Morris",2,25,12,1,0,3,1,1,0
6174393,"Loyola Maryland","Robert Morris",4,25,21,1,0,3,1,1,0
6174394,"Pepperdine","Texas A&M",1,12,25,0,1,0,3,0,1
6174394,"Pepperdine","Texas A&M",3,15,25,0,1,0,3,0,1
6174394,"Pepperdine","Texas A&M",2,21,25,0,1,0,3,0,1
6174395,"Kansas St.","San Diego St.",1,25,14,1,0,3,0,1,0
6174395,"Kansas St.","San Diego St.",3,27,25,1,0,3,0,1,0
6174395,"Kansas St.","San Diego St.",2,25,13,1,0,3,0,1,0
6174396,"Eastern Ky.","Louisiana",2,20,25,0,1,0,3,0,1
6174396,"Eastern Ky.","Louisiana",1,18,25,0,1,0,3,0,1
6174396,"Eastern Ky.","Louisiana",3,20,25,0,1,0,3,0,1
6174397,"Fordham","Stetson",4,16,25,0,1,3,2,1,0
6174397,"Fordham","Stetson",2,25,23,1,0,3,2,1,0
6174397,"Fordham","Stetson",5,15,12,1,0,3,2,1,0
6174397,"Fordham","Stetson",3,25,17,1,0,3,2,1,0
6174397,"Fordham","Stetson",1,23,25,0,1,3,2,1,0
6174398,"Arizona","Pacific",2,22,25,0,1,3,1,1,0
6174398,"Arizona","Pacific",4,25,19,1,0,3,1,1,0
6174398,"Arizona","Pacific",3,25,23,1,0,3,1,1,0
6174398,"Arizona","Pacific",1,25,19,1,0,3,1,1,0
6174399,"Weber St.","Saint Mary's (CA)",2,25,19,1,0,2,3,0,1
6174399,"Weber St.","Saint Mary's (CA)",4,28,26,1,0,2,3,0,1
6174399,"Weber St.","Saint Mary's (CA)",5,9,15,0,1,2,3,0,1
6174399,"Weber St.","Saint Mary's (CA)",1,21,25,0,1,2,3,0,1
6174399,"Weber St.","Saint Mary's (CA)",3,20,25,0,1,2,3,0,1
6174400,"Abilene Christian","Houston Christian",4,25,14,1,0,3,1,1,0
6174400,"Abilene Christian","Houston Christian",1,25,21,1,0,3,1,1,0
6174400,"Abilene Christian","Houston Christian",2,25,19,1,0,3,1,1,0
6174400,"Abilene Christian","Houston Christian",3,24,26,0,1,3,1,1,0
6174401,"Arkansas St.","North Ala.",5,15,13,1,0,3,2,1,0
6174401,"Arkansas St.","North Ala.",2,25,23,1,0,3,2,1,0
6174401,"Arkansas St.","North Ala.",4,20,25,0,1,3,2,1,0
6174401,"Arkansas St.","North Ala.",3,25,22,1,0,3,2,1,0
6174401,"Arkansas St.","North Ala.",1,21,25,0,1,3,2,1,0
6174402,"James Madison","Ohio",2,17,25,0,1,0,3,0,1
6174402,"James Madison","Ohio",3,25,27,0,1,0,3,0,1
6174402,"James Madison","Ohio",1,23,25,0,1,0,3,0,1
6174403,"Sam Houston","A&M-Corpus Christi",2,24,26,0,1,1,3,0,1
6174403,"Sam Houston","A&M-Corpus Christi",4,21,25,0,1,1,3,0,1
6174403,"Sam Houston","A&M-Corpus Christi",1,25,22,1,0,1,3,0,1
6174403,"Sam Houston","A&M-Corpus Christi",3,15,25,0,1,1,3,0,1
6174404,"Butler","UC San Diego",4,25,18,1,0,3,2,1,0
6174404,"Butler","UC San Diego",2,25,17,1,0,3,2,1,0
6174404,"Butler","UC San Diego",5,15,13,1,0,3,2,1,0
6174404,"Butler","UC San Diego",1,8,25,0,1,3,2,1,0
6174404,"Butler","UC San Diego",3,20,25,0,1,3,2,1,0
6174405,"CSU Bakersfield","Southern Utah",3,25,20,1,0,3,1,1,0
6174405,"CSU Bakersfield","Southern Utah",2,21,25,0,1,3,1,1,0
6174405,"CSU Bakersfield","Southern Utah",1,25,23,1,0,3,1,1,0
6174405,"CSU Bakersfield","Southern Utah",4,25,14,1,0,3,1,1,0
6174406,"Northern Colo.","Kentucky",2,14,25,0,1,1,3,0,1
6174406,"Northern Colo.","Kentucky",1,22,25,0,1,1,3,0,1
6174406,"Northern Colo.","Kentucky",4,14,25,0,1,1,3,0,1
6174406,"Northern Colo.","Kentucky",3,25,22,1,0,1,3,0,1
6174407,"Milwaukee","Villanova",5,15,17,0,1,2,3,0,1
6174407,"Milwaukee","Villanova",2,25,22,1,0,2,3,0,1
6174407,"Milwaukee","Villanova",3,23,25,0,1,2,3,0,1
6174407,"Milwaukee","Villanova",4,25,18,1,0,2,3,0,1
6174407,"Milwaukee","Villanova",1,22,25,0,1,2,3,0,1
6174408,"California Baptist","Jacksonville",4,18,25,0,1,2,3,0,1
6174408,"California Baptist","Jacksonville",2,25,17,1,0,2,3,0,1
6174408,"California Baptist","Jacksonville",5,8,15,0,1,2,3,0,1
6174408,"California Baptist","Jacksonville",1,23,25,0,1,2,3,0,1
6174408,"California Baptist","Jacksonville",3,25,18,1,0,2,3,0,1
6174409,"California","Central Conn. St.",2,25,17,1,0,3,0,1,0
6174409,"California","Central Conn. St.",3,25,13,1,0,3,0,1,0
6174409,"California","Central Conn. St.",1,25,18,1,0,3,0,1,0
6174410,"Saint Peter's","Merrimack",2,20,25,0,1,1,3,0,1
6174410,"Saint Peter's","Merrimack",1,25,20,1,0,1,3,0,1
6174410,"Saint Peter's","Merrimack",4,24,26,0,1,1,3,0,1
6174410,"Saint Peter's","Merrimack",3,18,25,0,1,1,3,0,1
6174411,"Merrimack","Duquesne",2,15,25,0,1,0,3,0,1
6174411,"Merrimack","Duquesne",3,21,25,0,1,0,3,0,1
6174411,"Merrimack","Duquesne",1,16,25,0,1,0,3,0,1
6174412,"NJIT","Siena",2,25,22,1,0,3,0,1,0
6174412,"NJIT","Siena",1,26,24,1,0,3,0,1,0
6174412,"NJIT","Siena",3,25,21,1,0,3,0,1,0
6174413,"Iona","Lehigh",2,18,25,0,1,2,3,0,1
6174413,"Iona","Lehigh",3,25,18,1,0,2,3,0,1
6174413,"Iona","Lehigh",4,21,25,0,1,2,3,0,1
6174413,"Iona","Lehigh",1,25,15,1,0,2,3,0,1
6174413,"Iona","Lehigh",5,6,15,0,1,2,3,0,1
6174414,"Cal Poly","Nevada",1,23,25,0,1,3,1,1,0
6174414,"Cal Poly","Nevada",3,25,23,1,0,3,1,1,0
6174414,"Cal Poly","Nevada",4,25,13,1,0,3,1,1,0
6174414,"Cal Poly","Nevada",2,25,19,1,0,3,1,1,0
6174415,"LSU","UCLA",2,22,25,0,1,2,3,0,1
6174415,"LSU","UCLA",1,25,12,1,0,2,3,0,1
6174415,"LSU","UCLA",5,6,15,0,1,2,3,0,1
6174415,"LSU","UCLA",4,22,25,0,1,2,3,0,1
6174415,"LSU","UCLA",3,25,20,1,0,2,3,0,1
6174416,"Ga. Southern","UNC Greensboro",2,25,23,1,0,3,0,1,0
6174416,"Ga. Southern","UNC Greensboro",1,25,13,1,0,3,0,1,0
6174416,"Ga. Southern","UNC Greensboro",3,25,9,1,0,3,0,1,0
6174417,"Wake Forest","Northeastern",3,25,18,1,0,3,0,1,0
6174417,"Wake Forest","Northeastern",2,25,14,1,0,3,0,1,0
6174417,"Wake Forest","Northeastern",1,25,19,1,0,3,0,1,0
6174418,"Portland St.","Cal St. Fullerton",1,25,13,1,0,3,0,1,0
6174418,"Portland St.","Cal St. Fullerton",3,25,14,1,0,3,0,1,0
6174418,"Portland St.","Cal St. Fullerton",2,25,18,1,0,3,0,1,0
6174419,"UNC Asheville","UMES",3,25,19,1,0,3,0,1,0
6174419,"UNC Asheville","UMES",1,25,18,1,0,3,0,1,0
6174419,"UNC Asheville","UMES",2,25,23,1,0,3,0,1,0
6174420,"Northern Ky.","ETSU",1,24,26,0,1,3,1,1,0
6174420,"Northern Ky.","ETSU",3,25,18,1,0,3,1,1,0
6174420,"Northern Ky.","ETSU",4,25,17,1,0,3,1,1,0
6174420,"Northern Ky.","ETSU",2,25,17,1,0,3,1,1,0
6174421,"UC Irvine","Seton Hall",3,24,26,0,1,0,3,0,1
6174421,"UC Irvine","Seton Hall",1,16,25,0,1,0,3,0,1
6174421,"UC Irvine","Seton Hall",2,18,25,0,1,0,3,0,1
6174422,"Colgate","Illinois St.",1,25,19,1,0,3,0,1,0
6174422,"Colgate","Illinois St.",3,25,20,1,0,3,0,1,0
6174422,"Colgate","Illinois St.",2,25,15,1,0,3,0,1,0
6174423,"New Mexico St.","North Florida",1,25,22,1,0,3,0,1,0
6174423,"New Mexico St.","North Florida",3,25,22,1,0,3,0,1,0
6174423,"New Mexico St.","North Florida",2,29,27,1,0,3,0,1,0
6174424,"UNCW","Presbyterian",1,25,20,1,0,3,0,1,0
6174424,"UNCW","Presbyterian",3,25,20,1,0,3,0,1,0
6174424,"UNCW","Presbyterian",2,25,23,1,0,3,0,1,0
6174425,"Dayton","Marquette",4,25,22,1,0,2,3,0,1
6174425,"Dayton","Marquette",1,20,25,0,1,2,3,0,1
6174425,"Dayton","Marquette",2,25,18,1,0,2,3,0,1
6174425,"Dayton","Marquette",3,23,25,0,1,2,3,0,1
6174425,"Dayton","Marquette",5,14,16,0,1,2,3,0,1
6174426,"Bradley","IUPUI",1,26,24,1,0,3,0,1,0
6174426,"Bradley","IUPUI",2,25,18,1,0,3,0,1,0
6174426,"Bradley","IUPUI",3,25,22,1,0,3,0,1,0
6174427,"Utah Valley","NC State",1,25,22,1,0,2,3,0,1
